x,y,z,inclinacion,azimuth,mode,medida_daq
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0425653
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0425653
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0428944
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0392751
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.038946
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0392751
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0392751
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0425653
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0425653
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.038946
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0392751
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0428944
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0399331
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0402621
0.8,0.6,0.75,20,120,r_vertical,0.0396041
0.8,0.6,0.75,20,120,r_vertical,0.0405912
0.8,0.6,0.75,20,120,r_vertical,0.0419073
0.8,0.6,0.75,20,120,r_vertical,0.0409202
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0415783
0.8,0.6,0.75,20,120,r_vertical,0.0422363
0.8,0.6,0.75,20,120,r_vertical,0.0412492
0.8,0.6,0.75,20,120,r_vertical,0.0412492
